entregador_id,semana_id,missao_id,meta_atingida,bonus_pago
1,5,1,False,0.0
1,6,1,True,40.0
1,7,1,True,40.0
1,8,1,True,40.0
1,9,1,True,40.0
1,10,1,True,40.0
1,11,1,True,40.0
1,12,1,True,40.0
3,5,1,False,0.0
3,6,1,False,0.0
3,7,1,True,40.0
3,8,1,False,0.0
3,9,1,True,40.0
3,10,1,True,40.0
3,11,1,False,0.0
3,12,1,True,40.0
4,5,1,True,40.0
4,6,2,True,90.0
4,7,2,True,90.0
4,8,2,True,90.0
4,9,2,True,90.0
4,10,2,False,0.0
4,11,2,True,90.0
4,12,2,True,90.0
6,5,1,True,40.0
6,6,1,True,40.0
6,7,1,True,40.0
6,8,1,True,40.0
6,9,1,True,40.0
6,10,1,True,40.0
6,11,1,True,40.0
6,12,1,True,40.0
7,5,1,False,0.0
7,6,1,True,40.0
7,7,1,True,40.0
7,8,1,True,40.0
7,9,1,True,40.0
7,10,1,True,40.0
7,11,1,True,40.0
7,12,1,True,40.0
8,5,2,True,90.0
8,6,2,False,0.0
8,7,2,True,90.0
8,8,2,False,0.0
8,9,2,True,90.0
8,10,2,True,90.0
8,11,2,True,90.0
8,12,2,True,90.0
12,5,1,True,40.0
12,6,2,True,90.0
12,7,2,True,90.0
12,8,2,False,0.0
12,9,2,False,0.0
12,10,2,False,0.0
12,11,2,True,90.0
12,12,2,False,0.0
13,5,1,True,40.0
13,6,1,True,40.0
13,7,1,True,40.0
13,8,1,True,40.0
13,9,1,True,40.0
13,10,1,True,40.0
13,11,1,True,40.0
13,12,1,True,40.0
14,5,1,False,0.0
14,6,1,True,40.0
14,7,1,True,40.0
14,8,1,False,0.0
14,9,1,False,0.0
14,10,1,True,40.0
14,11,1,True,40.0
14,12,1,True,40.0
19,5,1,True,40.0
19,6,1,True,40.0
20,5,2,False,0.0
20,6,2,True,90.0
20,7,2,True,90.0
20,8,2,True,90.0
20,9,2,True,90.0
20,10,2,True,90.0
20,11,2,True,90.0
20,12,2,True,90.0
21,5,2,False,0.0
21,6,2,True,90.0
21,7,2,True,90.0
21,8,2,True,90.0
21,9,2,True,90.0
21,10,2,True,90.0
21,11,2,True,90.0
21,12,2,True,90.0
23,5,1,True,40.0
23,6,1,True,40.0
23,7,1,True,40.0
23,8,1,True,40.0
23,9,1,True,40.0
23,10,1,True,40.0
23,11,1,True,40.0
23,12,1,True,40.0
25,5,1,False,0.0
25,6,1,True,40.0
25,7,1,True,40.0
25,8,1,True,40.0
25,9,1,True,40.0
25,10,1,False,0.0
25,11,1,True,40.0
25,12,1,True,40.0
30,5,1,True,40.0
30,6,1,True,40.0
30,7,1,True,40.0
30,8,1,True,40.0
30,9,1,True,40.0
30,10,1,True,40.0
30,11,1,True,40.0
30,12,1,True,40.0
31,5,1,True,40.0
31,6,1,True,40.0
31,7,1,True,40.0
31,8,1,True,40.0
31,9,1,True,40.0
31,10,1,True,40.0
31,11,1,True,40.0
31,12,1,True,40.0
32,5,2,True,90.0
32,6,2,True,90.0
32,7,2,True,90.0
32,8,2,True,90.0
32,9,2,True,90.0
32,10,2,True,90.0
32,11,2,True,90.0
32,12,2,True,90.0
43,5,1,True,40.0
43,6,1,True,40.0
43,7,1,True,40.0
43,8,1,True,40.0
43,9,1,True,40.0
43,10,1,True,40.0
43,11,1,True,40.0
43,12,1,True,40.0
45,5,1,True,40.0
45,6,1,True,40.0
45,7,1,True,40.0
45,8,1,True,40.0
45,9,1,True,40.0
45,10,1,True,40.0
45,11,1,True,40.0
45,12,1,True,40.0
46,5,1,True,40.0
46,6,1,True,40.0
46,7,2,True,90.0
46,8,2,False,0.0
46,9,2,True,90.0
46,10,2,True,90.0
46,11,2,False,0.0
46,12,2,True,90.0
49,5,1,True,40.0
49,6,1,True,40.0
53,5,1,True,40.0
53,6,1,True,40.0
53,7,1,False,0.0
53,8,1,False,0.0
53,9,1,True,40.0
53,10,1,True,40.0
53,11,1,True,40.0
53,12,1,False,0.0
54,5,2,True,90.0
54,6,2,True,90.0
54,7,2,True,90.0
54,8,2,True,90.0
54,9,2,True,90.0
55,5,2,True,90.0
55,6,2,False,0.0
55,7,2,True,90.0
55,8,2,True,90.0
55,9,2,True,90.0
55,10,2,True,90.0
55,11,2,True,90.0
55,12,2,True,90.0
58,5,1,True,40.0
58,6,2,True,90.0
58,7,2,False,0.0
58,8,2,True,90.0
58,9,2,True,90.0
58,10,2,True,90.0
58,11,2,False,0.0
58,12,2,True,90.0
61,5,1,True,40.0
61,6,1,True,40.0
61,7,1,True,40.0
61,8,1,True,40.0
61,9,1,True,40.0
61,10,1,True,40.0
61,11,1,True,40.0
61,12,1,True,40.0
63,5,1,True,40.0
63,6,1,True,40.0
63,7,1,True,40.0
63,8,1,True,40.0
63,9,1,True,40.0
63,10,1,True,40.0
63,11,1,True,40.0
63,12,1,True,40.0
64,5,2,True,90.0
64,6,2,True,90.0
64,7,2,True,90.0
64,8,2,True,90.0
64,9,2,True,90.0
64,10,2,True,90.0
64,11,2,True,90.0
64,12,2,True,90.0
65,5,1,True,40.0
65,6,1,True,40.0
65,7,1,True,40.0
65,8,1,True,40.0
65,9,1,True,40.0
65,10,1,True,40.0
65,11,1,True,40.0
65,12,1,True,40.0
66,5,1,True,40.0
66,6,1,True,40.0
66,7,1,True,40.0
66,8,1,True,40.0
66,9,1,True,40.0
66,10,1,True,40.0
66,11,1,True,40.0
66,12,1,True,40.0
67,5,1,True,40.0
67,6,2,False,0.0
67,7,2,True,90.0
67,8,2,True,90.0
67,9,2,False,0.0
67,10,2,False,0.0
67,11,2,True,90.0
67,12,2,True,90.0
73,5,1,True,40.0
73,6,1,True,40.0
73,7,1,True,40.0
73,8,1,True,40.0
73,9,1,True,40.0
73,10,1,True,40.0
73,11,1,True,40.0
73,12,1,True,40.0
78,5,1,False,0.0
78,6,1,True,40.0
78,7,1,False,0.0
78,8,1,False,0.0
78,9,1,False,0.0
78,10,1,True,40.0
78,11,1,False,0.0
78,12,1,False,0.0
79,5,1,True,40.0
79,6,1,True,40.0
79,7,1,True,40.0
79,8,1,True,40.0
79,9,1,True,40.0
79,10,1,True,40.0
79,11,1,True,40.0
79,12,1,True,40.0
80,5,2,True,90.0
80,6,2,True,90.0
80,7,2,True,90.0
80,8,2,True,90.0
80,9,2,False,0.0
80,10,2,False,0.0
80,11,2,False,0.0
80,12,2,True,90.0
81,5,1,True,40.0
81,6,1,True,40.0
81,7,1,True,40.0
81,8,1,True,40.0
81,9,1,True,40.0
81,10,1,True,40.0
81,11,1,True,40.0
81,12,1,True,40.0
83,5,1,False,0.0
83,6,1,True,40.0
83,7,1,True,40.0
83,8,1,False,0.0
83,9,1,True,40.0
83,10,1,True,40.0
83,11,1,True,40.0
83,12,1,True,40.0
87,5,2,True,90.0
87,6,2,True,90.0
87,7,2,True,90.0
87,8,2,True,90.0
87,9,2,True,90.0
87,10,2,True,90.0
87,11,2,True,90.0
87,12,2,True,90.0
90,5,1,True,40.0
90,6,1,True,40.0
90,7,1,True,40.0
90,8,1,True,40.0
90,9,1,True,40.0
90,10,1,True,40.0
90,11,1,True,40.0
90,12,1,True,40.0
92,5,1,True,40.0
92,6,1,True,40.0
92,7,1,True,40.0
92,8,1,True,40.0
92,9,1,True,40.0
92,10,1,True,40.0
92,11,1,True,40.0
92,12,1,True,40.0
96,5,1,True,40.0
96,6,1,True,40.0
96,7,1,True,40.0
96,8,1,True,40.0
96,9,1,True,40.0
96,10,1,True,40.0
96,11,1,True,40.0
96,12,1,True,40.0
100,5,1,True,40.0
100,6,1,True,40.0
100,7,1,True,40.0
100,8,1,True,40.0
100,9,1,True,40.0
100,10,1,True,40.0
100,11,1,True,40.0
100,12,1,True,40.0
101,5,1,True,40.0
101,6,2,True,90.0
101,7,2,True,90.0
101,8,2,True,90.0
101,9,2,True,90.0
101,10,2,True,90.0
101,11,2,False,0.0
101,12,2,True,90.0
102,5,1,True,40.0
102,6,1,True,40.0
102,7,1,True,40.0
102,8,1,True,40.0
102,9,1,True,40.0
102,10,1,True,40.0
102,11,1,True,40.0
102,12,1,True,40.0
105,5,1,True,40.0
105,6,2,False,0.0
105,7,2,True,90.0
105,8,2,True,90.0
105,9,2,True,90.0
105,10,2,True,90.0
105,11,2,True,90.0
105,12,2,True,90.0
106,5,1,True,40.0
106,6,1,True,40.0
106,7,1,True,40.0
106,8,1,True,40.0
106,9,1,True,40.0
106,10,1,True,40.0
106,11,1,True,40.0
106,12,1,True,40.0
110,5,1,False,0.0
110,6,1,False,0.0
110,7,1,False,0.0
110,8,1,True,40.0
110,9,1,False,0.0
110,10,1,True,40.0
110,11,1,True,40.0
110,12,1,True,40.0
114,5,1,False,0.0
114,6,1,False,0.0
114,7,1,False,0.0
114,8,1,True,40.0
114,9,1,False,0.0
114,10,1,True,40.0
114,11,1,False,0.0
114,12,1,False,0.0
116,5,1,True,40.0
116,6,1,True,40.0
116,7,1,True,40.0
116,8,1,True,40.0
